ID,Genotype
0026701-C,UNL141
26250,UNL141
26251,UNL141
023947-C,UNL141
023948-S,UNL141
0026855-C,UNL142
0026856-S,UNL142
25665,UNL142
25666,UNL142
25925,UNL142
25926,UNL142
024291-C,UNL142
024292-S,UNL142
0026442-S,UNL143
0026443-C,UNL143
25865,UNL143
25866,UNL143
024233-S,UNL143
024234-C,UNL143
0026419-C,UNL144
0026420-S,UNL144
25741,UNL144
25742,UNL144
023779-C,UNL144
023780-S,UNL144
0026629-S,UNL145
0026630-C,UNL145
25713,UNL145
25714,UNL145
26317,UNL145
26318,UNL145
024087-C,UNL145
024088-S,UNL145
0027223-S,UNL146
0027224-C,UNL146
25778,UNL146
25779,UNL146
024055-C,UNL146
024056-S,UNL146
0027081-S,UNL147
0027082-C,UNL147
25637,UNL147
25638,UNL147
023823-C,UNL147
023824-S,UNL147
0026533-C,UNL148
0026534-S,UNL148
25897,UNL148
25898,UNL148
26252,UNL148
26253,UNL148
024341-S,UNL148
024342-C,UNL148
0027211-C,UNL149
0027212-S,UNL149
25586,UNL149
25587,UNL149
26030,UNL149
26031,UNL149
024091-C,UNL149
024092-S,UNL149
0026430-C,UNL150
0026431-S,UNL150
25699,UNL150
25700,UNL150
26127,UNL150
26128,UNL150
024397-S,UNL150
024398-C,UNL150
0027132-S,UNL151
0027133-C,UNL151
25909,UNL151
25910,UNL151
26103,UNL151
26104,UNL151
023555-S,UNL151
023556-C,UNL151
0026955-S,UNL152
0026956-C,UNL152
25723,UNL152
25724,UNL152
26083,UNL152
26084,UNL152
023723-S,UNL152
023724-C,UNL152
0026809-S,UNL153
0026810-C,UNL153
25683,UNL153
25684,UNL153
26071,UNL153
26072,UNL153
023883-C,UNL153
023884-S,UNL153
0026857-C,UNL154
0026858-S,UNL154
25554,UNL154
25555,UNL154
26141,UNL154
26142,UNL154
023717-S,UNL154
023718-C,UNL154
0026617-C,UNL155
0026618-S,UNL155
26262,UNL155
26263,UNL155
023877-C,UNL155
023878-S,UNL155
0026609-C,UNL156
0026610-S,UNL156
25832,UNL156
25833,UNL156
023629-C,UNL156
023630-S,UNL156
0026674-C,UNL157
0026675-S,UNL157
25598,UNL157
25599,UNL157
26203,UNL157
26204,UNL157
023835-S,UNL157
023836-C,UNL157
0026527-S,UNL158
0026528-C,UNL158
25810,UNL158
25811,UNL158
023605-C,UNL158
023606-S,UNL158
0026559-C,UNL159
0026560-S,UNL159
25780,UNL159
25781,UNL159
26006,UNL159
26007,UNL159
023739-S,UNL159
023740-C,UNL159
0026993-C,UNL160
0026994-S,UNL160
25519,UNL160
25520,UNL160
26036,UNL160
26037,UNL160
023707-C,UNL160
023708-S,UNL160
0027136-S,UNL161
0027137-C,UNL161
25739,UNL161
25740,UNL161
26038,UNL161
26039,UNL161
023931-C,UNL161
023932-S,UNL161
0027171-S,UNL162
0027172-C,UNL162
25867,UNL162
25868,UNL162
023763-C,UNL162
023764-S,UNL162
0026383-C,UNL163
0026384-S,UNL163
25826,UNL163
25827,UNL163
26258,UNL163
26259,UNL163
023837-S,UNL163
023838-C,UNL163
0027079-C,UNL164
0027080-S,UNL164
25701,UNL164
25702,UNL164
25963,UNL164
25964,UNL164
023859-C,UNL164
023860-S,UNL164
0026359-S,UNL165
0026360-C,UNL165
25772,UNL165
25773,UNL165
26179,UNL165
26180,UNL165
023713-S,UNL165
023714-C,UNL165
0027173-S,UNL166
0027174-C,UNL166
25545,UNL166
25546,UNL166
024003-C,UNL166
024004-S,UNL166
0026829-C,UNL167
0026830-S,UNL167
26343,UNL167
26344,UNL167
024221-S,UNL167
024222-C,UNL167
0026985-C,UNL168
0026986-S,UNL168
25877,UNL168
25878,UNL168
26230,UNL168
26231,UNL168
023669-S,UNL168
023670-C,UNL168
0027013-C,UNL169
0027014-S,UNL169
25816,UNL169
25817,UNL169
26185,UNL169
26186,UNL169
024365-C,UNL169
024366-S,UNL169
0026397-S,UNL171
0026398-C,UNL171
26145,UNL171
26146,UNL171
023687-S,UNL171
023688-C,UNL171
0026886-C,UNL172
0026887-S,UNL172
26201,UNL172
26202,UNL172
023627-S,UNL172
023628-C,UNL172
0027100-C,UNL173
0027101-S,UNL173
26167,UNL173
26168,UNL173
024173-C,UNL173
024174-S,UNL173
0027163-C,UNL174
0027164-S,UNL174
25855,UNL174
25856,UNL174
023881-S,UNL174
023882-C,UNL174
0026389-S,UNL175
0026390-C,UNL175
25631,UNL175
25632,UNL175
024255-S,UNL175
024256-C,UNL175
0027203-C,UNL176
0027204-S,UNL176
25759,UNL176
25760,UNL176
024171-S,UNL176
024172-C,UNL176
0026468-C,UNL177
0026469-S,UNL177
25620,UNL177
25621,UNL177
26315,UNL177
26316,UNL177
023685-C,UNL177
023686-S,UNL177
0026975-S,UNL178
0026976-C,UNL178
26089,UNL178
26090,UNL178
024165-S,UNL178
024166-C,UNL178
0026825-S,UNL179
0026826-C,UNL179
26220,UNL179
26221,UNL179
023917-C,UNL179
023918-S,UNL179
0027213-S,UNL180
0027214-C,UNL180
25770,UNL180
25771,UNL180
024311-C,UNL180
024312-S,UNL180
0027051-C,UNL181
0027052-S,UNL181
25499,UNL181
25500,UNL181
25967,UNL181
25968,UNL181
024193-C,UNL181
024194-S,UNL181
0026827-C,UNL182
0026828-S,UNL182
25727,UNL182
25728,UNL182
024029-S,UNL182
024030-C,UNL182
0026953-C,UNL183
0026954-S,UNL183
25596,UNL183
25597,UNL183
25985,UNL183
25986,UNL183
024359-C,UNL183
024360-S,UNL183
0026627-C,UNL184
0026628-S,UNL184
25675,UNL184
25676,UNL184
023765-S,UNL184
023766-C,UNL184
0027067-S,UNL185
0027068-C,UNL185
25697,UNL185
25698,UNL185
024269-S,UNL185
024270-C,UNL185
0026513-S,UNL186
0026514-C,UNL186
25671,UNL186
25672,UNL186
26187,UNL186
26188,UNL186
023543-C,UNL186
023544-S,UNL186
0026892-C,UNL188
0026893-S,UNL188
25927,UNL188
25928,UNL188
024241-C,UNL188
024242-S,UNL188
0027035-S,UNL189
0027036-C,UNL189
25992,UNL189
25993,UNL189
023949-S,UNL189
023950-C,UNL189
0026492-S,UNL190
0026493-C,UNL190
26169,UNL190
26170,UNL190
023983-C,UNL190
023984-S,UNL190
0027183-S,UNL191
0027184-C,UNL191
25531,UNL191
25532,UNL191
023701-C,UNL191
023702-S,UNL191
0026511-C,UNL192
0026512-S,UNL192
25614,UNL192
25615,UNL192
26131,UNL192
26132,UNL192
024125-C,UNL192
024126-S,UNL192
0026357-S,UNL193
0026358-C,UNL193
25851,UNL193
25852,UNL193
023677-C,UNL193
023678-S,UNL193
0026789-C,UNL194
0026790-S,UNL194
25903,UNL194
25904,UNL194
26018,UNL194
26019,UNL194
024119-C,UNL194
024120-S,UNL194
0026797-S,UNL195
0026798-C,UNL195
26147,UNL195
26148,UNL195
023567-S,UNL195
023568-C,UNL195
0026682-C,UNL196
0026683-S,UNL196
26157,UNL196
26158,UNL196
024237-S,UNL196
024238-C,UNL196
0026926-S,UNL197
0026927-C,UNL197
26349,UNL197
26350,UNL197
023539-C,UNL197
023540-S,UNL197
0027009-C,UNL198
0027010-S,UNL198
25763,UNL198
25764,UNL198
26191,UNL198
26192,UNL198
023813-C,UNL198
023814-S,UNL198
0026932-S,UNL199
0026933-C,UNL199
25949,UNL199
25950,UNL199
023975-S,UNL199
023976-C,UNL199
0026939-S,UNL200
0026940-C,UNL200
26161,UNL200
26162,UNL200
024215-S,UNL200
024216-C,UNL200
0026710-S,UNL201
0026711-C,UNL201
26341,UNL201
26342,UNL201
024229-C,UNL201
024230-S,UNL201
0026507-S,UNL202
0026508-C,UNL202
26270,UNL202
26271,UNL202
023613-C,UNL202
023614-S,UNL202
0026611-S,UNL203
0026612-C,UNL203
26008,UNL203
26009,UNL203
024023-S,UNL203
024024-C,UNL203
0026902-C,UNL204
0026903-S,UNL204
25485,UNL204
25486,UNL204
023639-C,UNL204
023640-S,UNL204
0026977-C,UNL205
0026978-S,UNL205
25840,UNL205
25841,UNL205
023671-S,UNL205
023672-C,UNL205
0027193-C,UNL206
0027194-S,UNL206
26197,UNL206
26198,UNL206
023969-S,UNL206
023970-C,UNL206
0027073-C,UNL207
0027074-S,UNL207
25939,UNL207
25940,UNL207
023929-S,UNL207
023930-C,UNL207
0027086-C,UNL208
0027087-S,UNL208
25822,UNL208
25823,UNL208
024001-S,UNL208
024002-C,UNL208
0026415-S,UNL209
0026416-C,UNL209
25647,UNL209
25648,UNL209
024321-C,UNL209
024322-S,UNL209
0026621-C,UNL210
0026622-S,UNL210
25568,UNL210
25569,UNL210
26151,UNL210
26152,UNL210
023559-C,UNL210
023560-S,UNL210
0027118-S,UNL211
0027119-C,UNL211
25693,UNL211
25694,UNL211
023721-S,UNL211
023722-C,UNL211
0027106-C,UNL212
0027107-S,UNL212
25705,UNL212
25706,UNL212
26149,UNL212
26150,UNL212
024263-C,UNL212
024264-S,UNL212
0026434-C,UNL214
0026435-S,UNL214
25537,UNL214
25538,UNL214
26291,UNL214
26292,UNL214
023967-C,UNL214
023968-S,UNL214
0027225-S,UNL215
0027226-C,UNL215
26121,UNL215
26122,UNL215
023711-S,UNL215
023712-C,UNL215
0026601-C,UNL217
0026602-S,UNL217
25757,UNL217
25758,UNL217
26293,UNL217
26294,UNL217
